Country_Name,Country_Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2430835946,3501370796,4174366749,5268341926
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,166509703,223594868,241050767,280860658,308927385,384220900,488299547,615647470,739903014,838777490,1009421252,1357601790,1404087778,1768802827,2104224667,2319777471,2313907781,2469547227,2393924309
Algeria,DZA,352276530,537317756,640168724,1526311872,2474721203,1895709582,2502227909,2590690992,3229638376,5517255336,7063796372,5914589910,4972783952,4010230638,3185336129,4644533504,3842514564,4343098847,3190542206,3085702748,2703474414,3459969139,3317517174,3655668345,4813488071,2005167341,4235006179,8046742631,6845539229,4525667777,12023904177,18081413053,23237503510,33125171840,43246380950,56303086575,77913736579,110000000000,143000000000,149000000000,163000000000,183000000000
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,212833269,551619184,396431042,203453700,496103867,1198212373,731866869,375545950,634199422,1374045539,3196850750,8598584122,11196800894,17869411577,13664098011,19749472847,28786209253
Argentina,ARG,681788410,304313694,572449624,1597255815,1889579493,848224794,1983316106,3843942163,5933320847,11626504898,9296754708,5006229910,4503960841,2840273963,2590505132,4702644000,4427405700,3733969300,5157480788,3216875257,6222040940,7462543503,11447029750,15499431748,16003266606,14287811059,18103919207,22319837782,24752134290,26252058771,25146903915,14553064261,10489339848,14153439521,18884344311,27178852026,30903464510,44682057445,44854620342,46092987573,49733860132,43226839533
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,1293750,13586868,36108083,99579938,155647312,228749705,280730152,290856848,301959899,317217932,415584800,501977059,547758891,669480439,1071917947,1659090464,1406800824,2003623366,1865824194,1932472154
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,590076,2034229,120884195,211281689,466094165,447325725,672589581,679605515,724979354,720471771,802839747,1075084319,1177743707,2500372937,4273114894,6467239212,5363780348,6408968627,10273827984
Bangladesh,BGD,,,270471420,143195874,138200000,148263284,288917081,241498635,321264479,413645570,331184644,159682646,208528950,545880999,408085844,356198603,434858521,876251425,1076508833,532096152,659565646,1307945016,1853480695,2446571637,3174800894,2339666560,1834622845,1581456169,1905410434,1603637021,1485964725,1275027662,1683213113,2577891706,3172440836,2767241068,3805600125,5183432283,5689282148,10218896470,10564277434,8509532149
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,100987553,377020404,469150025,393699161,702756651,294270277,350495842,390676494,618811275,594813852,749374643,1136619427,1068560521,3952129348,2686986490,4831382884,3431039696,6011236755
Belize,BLZ,,,,,,,5490666,8020500,13978000,10463000,12675500,10334500,9837500,9305500,6072201,14813000,26897000,36414760,51657201,59880046,69781507,53016556,52942500,38746500,34521500,37608500,58402000,59415500,44085000,71305500,122899000,112041500,114506500,84684000,48253500,71357500,113721669,108512547,166162900,213683319,217999642,237114352
